geo_id,city,zip,california_county,latitude,longitude,drinking_water,low_birth_weight,total_birth_pop,total_birth_count,birthing_rate,avg_birthing_age,teen_birth,geriatric_birth,female_employment_rate,unemployment_rate,health_insurance_coverage,disability,median_income,poverty_rate_families,poverty_rate_all,residence_over_1y,edu_less_than_hs,edu_some_hs,edu_hs,edu_some_college,edu_associate,edu_bachelors,edu_grad_prof,edu_hs_or_higher,edu_bachelors_or_higher,fms_never_married,fms_married_separated,fms_separated,fms_widowed,fms_divorced,foreign_born,foreign_born_europe,foreign_born_asia,foreign_born_africa,foreign_born_oceania,foreign_born_latin_america,foreign_born_north_america,foreign_born_not_citizen,limited_english,limited_english_spanish,limited_english_indo_euro,limited_english_aapi,limited_english_other
6037910805,Acton,93510,Los Angeles,34.4705275,-118.2228031,628.8448299,1.92,994,112,11.267605633802816,31.821428571428573,0,0.24107142857142858,54.6,11.4,82.9,10.7,79688,5.3,9.5,91.5,8.3,6.8,23.5,19.8,9.3,18.5,13.8,84.9,32.3,24.1,61.9,1.1,3.6,9.2,10.5,9.9,25.3,2.6,0,62.2,0,43.4,10.4,7.9,1.4,1.2,0
6037910807,Santa Clarita,91387,Los Angeles,34.4410273,-118.4105719,624.6329623,5.04,1694,92,5.430932703659977,30.097826086956523,0,0.2608695652173913,59.7,9.1,89.8,8.5,100272,3.8,6.7,86.6,1.2,7.7,20,28.2,9.7,24.6,8.7,91.2,33.3,34.1,46.9,2.8,3.6,12.6,17.3,3.9,36.7,9.1,4.1,41.7,4.6,24.1,5.6,3.4,0.1,1.5,0.6
6037910808,Unincorporated Los Angeles County area,91387,Los Angeles,34.4620693,-118.395844,623.5648201,2.74,775,21,2.7096774193548385,22,0,0,62.5,8.1,87.1,11.6,85710,0.7,1.3,91.9,3.9,7.6,21.6,29.5,11.2,18.8,7.5,88.5,26.2,23.3,58.4,2.7,8.8,6.8,13.9,4.1,34.2,13.9,1.4,41.6,4.8,24,5.6,3,0.7,1.3,0.5
6037910809,Santa Clarita,91387,Los Angeles,34.4087694,-118.4042026,596.2155229,1.92,465,6,1.2903225806451613,27,0,0,51.6,8.6,92.6,7.1,122656,6,10,93.7,1,2.3,17.3,20.5,11,28.6,19.3,96.7,47.9,20.6,60.5,1.5,8.1,9.3,16.8,13,53.3,2.2,0,30.4,1.1,9.2,5.9,3.2,0.3,0.5,2
6037910810,Unincorporated Los Angeles County area,91390,Los Angeles,34.4595477,-118.3532786,709.3611921,4.55,686,14,2.0408163265306123,22,0,0,60.1,4.9,88.6,7.7,117067,3.8,6.4,91.5,4.4,3.6,16.4,29.4,14.5,22.9,8.9,92,31.8,23.5,62.6,1.3,7.6,5,12.1,4.6,42.9,0,0,52.6,0,31.1,8.3,5.8,1.2,1.3,0
6037910813,Agua Dulce,91390,Los Angeles,34.5152531,-118.3048498,641.2859878,2.45,771,30,3.8910505836575875,22,0,0,59.1,10.2,92.9,15,97578,3.7,7.3,86.9,1.3,3.6,25,31.5,11.3,17.9,9.4,95.1,27.3,13.9,75.8,1.1,4.3,4.9,5.9,4.9,28.6,0,0,66.5,0,37.9,1.2,1.2,0,0,0
6037911001,Unincorporated Los Angeles County area,93544,Los Angeles,34.4849205,-117.804588,629.4003341,3.94,703,30,4.267425320056899,37,0,0.5,40.1,7.4,83.2,18.6,54186,11.2,16.6,96.2,8,10.6,27.2,25.6,8,16.1,4.5,81.4,20.5,20.7,53.5,0.8,15.5,9.5,14.4,6.1,1.9,3.2,0,87.1,1.7,60.6,9.4,9,0.4,0,0
6037920012,Unincorporated Los Angeles County area,91390,Los Angeles,34.5927585,-118.3491278,382.6954833,0,143,5,3.4965034965034967,22,0,0,67.2,13.8,89.8,14.7,67639,4.4,8.1,89.1,3,4,34.5,32.5,4.2,14.6,7.2,93,21.7,16.4,57.6,2.5,11.8,11.8,9.5,21.1,46.3,12.6,0,15.8,4.2,20,0.9,0.9,0,0,0
6037920013,Santa Clarita,91350,Los Angeles,34.4298866,-118.521858,656.788925,3.03,985,28,2.8426395939086295,31.464285714285715,0,0.2857142857142857,56.4,10,92.9,11,103194,1.5,3.8,97.4,6.1,4.4,20.7,25.3,11.7,16.2,15.6,89.4,31.8,17.9,59.2,0,4.5,18.3,20.7,15.7,34.6,0,0,48,1.8,34.9,8.5,5.5,1,2.1,0
6037920015,Santa Clarita,91390,Los Angeles,34.4734725,-118.527587,647.0577812,4.57,1492,14,0.938337801608579,22,0,0,56.5,5,94.6,9,120903,1,3.3,92,1.9,1.4,19,25.1,10.3,27.5,14.8,96.7,42.3,26.8,59.1,1.3,3.7,9.1,16.2,6.2,50.8,3.4,1.1,36.2,2.4,23.1,8.1,3.5,1.1,3.5,0
6037920016,Santa Clarita,91390,Los Angeles,34.463885,-118.5206685,634.2209396,2.16,1343,43,3.2017870439314966,27.930232558139537,0,0.13953488372093023,64.2,8,96.9,8.6,126000,3,4.3,87.2,0,6.4,17.2,25.3,8.3,30.1,12.6,93.6,42.7,27.3,61.2,0,4.8,6.7,12.1,21.1,51.9,9.4,0,17.6,0,19.5,5.4,1.7,1.4,2,0.4
6037920018,Santa Clarita,91350,Los Angeles,34.4558936,-118.5295463,652.5481527,4.7,576,23,3.9930555555555554,23.304347826086957,0,0,61.5,7.5,88,6.9,92250,3.1,6.2,97.5,3.2,1.3,25.2,31.7,12.5,18.6,7.6,95.5,26.2,30,52.1,0,7.1,10.8,9.7,19.5,21.7,11.9,0,46.9,0,49.6,5.8,5.3,0.5,0,0
6037920020,Santa Clarita,91390,Los Angeles,34.4737154,-118.4998492,753.7974676,4.36,1816,111,6.112334801762114,34.58108108108108,0,0.2972972972972973,63.9,11.8,89.7,9.6,81905,2.8,6.9,94.1,2.8,6.1,24.3,27.9,11.5,19.1,8.4,91.1,27.5,29.2,54.2,1.7,4.8,10.2,18.1,5.5,24.2,0,3.9,65.4,0.9,45.2,12.2,9.4,2,0.4,0.3
6037920023,Santa Clarita,91351,Los Angeles,34.423464,-118.4919398,586.1033787,3.83,800,31,3.875,30.225806451612904,0,0.16129032258064516,57.7,8.4,79.2,7.3,57596,9.7,10.8,84.7,17.7,13,23.2,28.2,6.9,8.2,2.8,69.3,11,41.8,36.2,2.8,3.5,15.7,32.6,6.6,3.5,0,0,89.9,0,66.2,32.7,31.5,0,1.2,0
6037920028,Santa Clarita,91351,Los Angeles,34.4394521,-118.4870567,586.1033787,3.87,2014,236,11.717974180734856,29.786016949152543,0,0.19915254237288135,60.9,7,92.2,8.7,108250,6.6,5.5,89,1,3.8,15,20.7,14.2,36.1,9.3,95.1,45.3,31.1,51,3.6,3.1,11.2,19,10,37.8,3.3,0,48,0.9,21,7.4,4.2,0.3,2.4,0.5
6037920029,Santa Clarita,91351,Los Angeles,34.4303386,-118.4866076,586.1033787,5.66,780,53,6.794871794871795,23.9811320754717,0,0,73.8,13.6,87.5,9.9,66920,4.7,5.3,89.9,1.2,5.2,30.9,28.5,12.5,14.8,6.9,93.5,21.7,28.6,53.1,3.2,3.2,11.8,25.3,4.1,31.9,0.2,0,61.4,2.3,43.7,14.8,13.4,0.1,1.3,0
6037920030,Santa Clarita,91351,Los Angeles,34.4151371,-118.4898281,667.5832774,4.98,1799,114,6.336853807670928,28.228070175438596,0,0.21052631578947367,79.2,8.6,87.7,8.7,81844,6.5,11.9,81.5,4.7,8.2,21.6,24.4,7.7,23.4,9.9,87.1,33.3,37.7,44.3,1.8,4,12.1,21.6,3.1,45,0.8,0,49.9,1.3,48,12.2,8.2,0.9,3.1,0.1
6037920031,Santa Clarita,91321,Los Angeles,34.3992407,-118.4836342,662.5947572,5.32,802,31,3.865336658354115,22,0,0,45.1,6.4,95.2,25.3,55479,3,5.5,88.5,4.2,3.8,26.9,28.6,10.6,20,6,92.1,26,15.7,45.9,1,23.3,14.2,14.4,9.7,41.5,0,0,40.3,8.4,12.5,7.1,4.3,0.5,2.4,0
