census_tract,total_pop,county,zip,approximate_location,longitude,latitude,ces_4_0_score,ces_4_0_percentile,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,children_10_years_percent,pop_10_64_years_percent,elderly_64_years_percent,hispanic_percent,white_percent,african_american_percent,native_american_percent,asian_american_percent,other_multiple_percent,disadv_designation,avg_maternal_age
6037575300,4360,Los Angeles,90813,Long Beach,-118.1850264,33.7862258,59.5689294754934,95.4614220877458,95-100% (highest scores),0.03975537,11.70376562,0.307682782,339.0441176,81.01853108,0,12637.22982,939.6370893,7,6.5,0.375,10,0,52.0760166508222,6.3584712892403,128.01,8.94,27.87,42.7,26.3,63.3,15.1,14.5,90.3134067560285,9.36843570817013,16.67,73.88,9.45,60.34,7.64,10.3,0.48,20.37,0.87,1,36.49367088607595
6071001101,4173,San Bernardino,91762,Ontario,-117.6629921,34.0660715,59.5317524336553,95.4488149268785,95-100% (highest scores),0.060311,13.54116448,0.25286289,796.6465081,71.55214286,0,846.286672,755.6744916,13.5,3.75,2.195,0,5,61.5385723382298,7.51384745913154,71.33,4.8,20.8,37.2,15.2,48.8,7.5,28.1,76.3785548797921,7.92293864860228,17.11,74.98,7.91,76.11,12.94,0.58,0,8.89,1.49,1,27.331491712707184
6071004800,3263,San Bernardino,92411,San Bernardino,-117.3082365,34.1120412,59.503187877632,95.4109934442763,95-100% (highest scores),0.073132,11.44945867,1.211432428,404.5781915,88.21086414,0,737.0219777,1866.632367,12.35,0,0.055,0,2,53.9099107639493,6.58238939618793,141.19,5.79,21.12,44,18.7,69.4,12.5,21.8,87.1448661766409,9.03975506403377,19.55,72.17,8.27,90.1,3.19,6.13,0,0.58,0,1,21.818181818181817
6029001600,1967,Kern,93301,Bakersfield,-119.0153944,35.3769557,59.5011462372873,95.398386283409,95-100% (highest scores),0.06464682,15.80216134,0.85685067,625.1204784,54.60871487,0,48.39596683,624.7217058,4.25,16,2.815,0,2,55.4799085910775,6.77408581903265,148.79,6.88,19.97,29.2,5.5,73.7,16.7,22.5,84.675892304356,8.7836422252153,16.47,72.14,11.39,46.72,25.47,20.34,0.86,2.95,3.66,1,25.333333333333332
6037186403,2698,Los Angeles,90065,Los Angeles,-118.2394938,34.1118266,59.4974227203305,95.3857791225416,95-100% (highest scores),0.051162150000000003,11.94222572,0.377638649,488.7862335,78.32019725,0,1516.741028,1901.069575,50.4,44,1.155,6,1,68.5221439260171,8.36654016285811,65.4,5.74,11.07,29.9,22,34.8,6.1,30.7,68.5547256971699,7.11135326696447,11.08,70.39,18.53,64.75,10.01,1.52,0,22.91,0.82,1,33.2962962962963
6099001700,2738,Stanislaus,95351,Modesto,-121.0071046,37.6373175,59.4701284897058,95.3605648008069,95-100% (highest scores),0.05395594,11.30011093,1.197138697,891.9219689,89.55157537,0,268.4810028,848.3575155,15.7,19.25,0.085,6,0.5,58.0313267716911,7.08561347209905,106.53,4.07,19.24,46.7,15.5,80.1,17.4,31,80.9108127136463,8.3930810964895,19.65,75.09,5.26,75.38,15.67,2.48,0.22,6.06,0.18,1,32
6071005300,5363,San Bernardino,92405,San Bernardino,-117.2912706,34.1396027,59.4582270962985,95.3479576399395,95-100% (highest scores),0.073132,11.20836536,0.247225057,404.5781915,89.83102107,0,724.0343322,1046.466563,19,14,0.5,0,0.5,55.8234846231516,6.81603638430462,111.61,6.48,19.99,39.1,6.7,57.5,12,24.8,84.0940365792674,8.7232848746544,17.86,71.86,10.27,72.12,14.32,10.46,0.65,1.98,0.47,1,25.77777777777778
6037122000,5892,Los Angeles,91605,Los Angeles,-118.4183782,34.2147689,59.4478735386768,95.3353504790721,95-100% (highest scores),0.06350576,11.50541661,0.152640704,726.638249,76.90490236,0.001571374,867.1930035,2019.798812,42.95,49.5,1.425,4,2.5,69.1856779232231,8.44755753211964,68.8,4.73,17.83,27.4,8,37.4,9,20.3,67.8406984135905,7.03728542985848,8.55,75.32,16.12,48.59,35.9,2.97,0,9.32,3.22,1,27.923076923076923
6037534406,5027,Los Angeles,90201,Cudahy,-118.1749749,33.9647497,59.4358819998384,95.3227433182047,95-100% (highest scores),0.04632538,12.03639575,0.85027181,663.6559465,76.75632925,0,4813.146647,1127.093603,25.6,2.3,1.235,7,0,62.1949888758231,7.59399578798809,54.25,3.93,23.93,55.3,19.4,64,8.4,31,75.4507400677179,7.8266940961242,18.34,76.01,5.65,98.85,0.97,0.18,0,0,0,1,37
6037121802,3216,Los Angeles,91605,Los Angeles,-118.3913647,34.2192112,59.3856743686468,95.29752899647,95-100% (highest scores),0.06350576,11.40523782,0.113360737,726.638249,85.59283566,0,796.7246706,1344.169027,39.45,14,0.265,0,3.75,59.3351842700263,7.24481421366141,70.54,8.55,18.29,29,11,44.3,7.1,22.1,79.0204655065016,8.19699064976219,12.9,75.03,12.06,60.14,26.4,6.09,0,6.47,0.9,1,35.333333333333336
